,service_level,max_guest,no_bedroom,no_bed,no_bathroom,rating,no_review,price,type,area,amenities
163,SUPERHOST,4.0,2.0,2.0,2.0,4.91,32,43.0,Entire residential home,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
164,SUPERHOST,2.0,1.0,1.0,1.5,4.85,183,204.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
165,SUPERHOST,6.0,3.0,3.0,3.0,4.93,14,206.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
166,REGULAR,2.0,1.0,1.0,1.0,5.0,4,34.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
167,REGULAR,4.0,2.0,2.0,1.0,4.86,0,32.0,Entire villa,Tegalalang,"Pool,Wifi,Air conditioning,none"
168,REGULAR,2.0,1.0,1.0,1.0,4.19,16,36.0,Private room,Ubud,"Wifi,Air conditioning,none,none"
169,REGULAR,2.0,1.0,1.0,1.0,5.0,3,17.0,Room in boutique hotel,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
170,REGULAR,2.0,1.0,1.0,1.5,4.86,0,16.0,Private room,Tegalalang,"Wifi,Air conditioning,none,none"
171,REGULAR,4.0,2.0,3.0,1.0,4.86,0,38.0,Entire villa,Ubud,"Pool,Wifi,Kitchen,none"
172,SUPERHOST,2.0,1.0,1.0,1.0,4.91,43,80.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
173,REGULAR,4.0,2.0,3.0,2.0,4.86,0,118.0,Entire villa,Ubud,"Wifi,Air conditioning,Kitchen,none"
174,REGULAR,4.0,2.0,2.0,2.0,4.86,0,60.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
175,SUPERHOST,2.0,1.0,1.0,1.5,5.0,3,480.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
176,REGULAR,14.0,6.0,9.0,6.0,4.92,12,768.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
177,SUPERHOST,2.0,1.0,1.0,1.5,5.0,9,11.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
178,REGULAR,2.0,1.0,1.0,1.0,4.77,44,58.0,Entire residential home,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
179,SUPERHOST,2.0,1.0,1.0,1.0,4.65,26,30.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
180,REGULAR,2.0,1.0,1.0,1.0,4.86,0,48.0,Resort room,Kecamatan Sukawati,"Wifi,Air conditioning,none,none"
181,SUPERHOST,2.0,1.0,1.0,1.0,4.8,161,36.0,Entire rental unit,Ubud,"Pool,Wifi,Kitchen,none"
182,REGULAR,2.0,1.0,1.0,1.0,4.86,0,23.0,Hotel room,Ubud,"Pool,Wifi,Air conditioning,none"
183,REGULAR,2.0,1.0,1.0,5.5,4.89,218,13.0,Private room,Ubud,"Wifi,Air conditioning,Kitchen,none"
184,SUPERHOST,4.0,2.0,2.0,2.0,4.94,49,200.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
185,SUPERHOST,2.0,1.0,1.0,1.0,4.82,256,35.0,Hotel room,Ubud,"Pool,Wifi,Air conditioning,none"
186,SUPERHOST,2.0,1.0,1.0,1.5,4.86,0,176.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
187,SUPERHOST,3.0,1.0,1.0,2.0,5.0,4,168.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
188,SUPERHOST,2.0,2.0,2.0,2.0,5.0,4,132.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
189,SUPERHOST,4.0,2.0,2.0,2.0,5.0,9,96.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
190,REGULAR,2.0,1.0,1.0,1.0,3.71,7,38.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
191,SUPERHOST,3.0,1.0,1.0,1.0,4.7,57,50.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
192,REGULAR,8.0,3.0,3.0,3.0,4.86,22,413.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
193,SUPERHOST,2.0,1.0,1.0,1.0,4.71,111,56.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
194,REGULAR,6.0,2.0,2.0,1.0,4.89,80,151.0,Hotel room,Ubud,"Pool,Wifi,Kitchen,none"
195,SUPERHOST,2.0,1.0,1.0,1.0,4.86,0,56.0,Hotel room,Ubud,"Pool,Wifi,Air conditioning,none"
196,SUPERHOST,2.0,1.0,1.0,1.0,4.78,169,29.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
197,REGULAR,2.0,1.0,1.0,1.0,4.86,104,167.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
198,SUPERHOST,2.0,1.0,1.0,1.5,5.0,5,200.0,Room in boutique hotel,Ubud,"Pool,Wifi,Air conditioning,none"
199,REGULAR,8.0,3.0,3.0,3.0,5.0,4,413.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
200,SUPERHOST,4.0,2.0,2.0,2.5,5.0,15,342.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
201,SUPERHOST,2.0,1.0,1.0,1.0,4.97,38,15.0,Hotel room,Ubud,"Pool,Wifi,Air conditioning,none"
202,REGULAR,2.0,1.0,1.0,1.0,4.86,0,35.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
203,REGULAR,2.0,1.0,1.0,1.0,4.89,18,22.0,Entire residential home,Ubud,"Wifi,Air conditioning,Kitchen,none"
204,REGULAR,12.0,5.0,5.0,5.0,4.96,25,650.0,Entire villa,Tegalalang,"Pool,Wifi,Air conditioning,Kitchen"
205,SUPERHOST,2.0,1.0,1.0,1.5,4.88,141,58.0,Entire residential home,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
206,REGULAR,4.0,2.0,2.0,2.0,5.0,5,472.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
207,SUPERHOST,2.0,1.0,1.0,1.0,4.86,0,60.0,Resort room,Gianyar,"Pool,Wifi,Air conditioning,Kitchen"
208,SUPERHOST,2.0,1.0,1.0,1.0,4.98,44,25.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
209,SUPERHOST,2.0,1.0,1.0,1.0,4.88,33,125.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
210,SUPERHOST,2.0,1.0,1.0,1.0,4.86,0,60.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
211,SUPERHOST,2.0,1.0,1.0,1.0,4.76,17,120.0,Entire villa,Ubud,"Pool,Wifi,Kitchen,none"
212,REGULAR,4.0,2.0,3.0,2.0,4.86,0,77.0,Room in boutique hotel,Ubud,"Pool,Wifi,Air conditioning,none"
213,SUPERHOST,2.0,1.0,1.0,1.0,4.86,0,15.0,Room in boutique hotel,Tegalalang,"Pool,Wifi,Air conditioning,none"
214,REGULAR,2.0,1.0,1.0,1.0,4.86,0,40.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
215,SUPERHOST,2.0,1.0,1.0,1.0,5.0,23,152.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
216,REGULAR,4.0,1.0,1.0,1.0,4.65,300,31.0,Entire residential home,Ubud,"Wifi,Air conditioning,Kitchen,none"
217,SUPERHOST,2.0,1.0,1.0,1.0,4.86,0,64.0,Entire villa,Tegalalang,"Pool,Wifi,Air conditioning,Kitchen"
218,REGULAR,2.0,1.0,1.0,1.0,4.88,304,52.0,Private room,Ubud,"Wifi,Air conditioning,none,none"
219,SUPERHOST,2.0,1.0,1.0,1.0,4.73,165,42.0,Entire rental unit,Ubud,"Pool,Wifi,Kitchen,none"
220,SUPERHOST,4.0,2.0,2.0,1.0,5.0,4,24.0,Entire rental unit,Ubud,"Pool,Wifi,Kitchen,none"
221,REGULAR,2.0,1.0,1.0,1.0,4.73,310,56.0,Hotel room,Ubud,"Pool,Wifi,Air conditioning,none"
222,REGULAR,4.0,2.0,2.0,2.0,4.61,88,137.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
